lexical_item,frequency,category
sari,36,clothing and textile reference
baba,12,naming practice and kinship related cultural concepts
jamai-to-be,1,naming practice and kinship related cultural concepts
alipore,7,"cities, places and geographic locations"
amherst,7,"cities, places and geographic locations"
bengali,75,ethnic and cultural identity markers
bihari,2,ethnic and cultural identity markers
buro,2,naming practice and kinship related cultural concepts
calcutta,73,"cities, places and geographic locations"
chowringhee,2,"cities, places and geographic locations"
desh,4,ethnic and cultural identity markers
dum,7,food and drink terminology
gariahat,2,"cities, places and geographic locations"
howrah,5,"cities, places and geographic locations"
kashmiri,3,ethnic and cultural identity markers
tollygunge,3,"cities, places and geographic locations"
bogie,4,railways and transportation vocabulary
conch,3,ceremonial and ritual objects
dal,8,food and drink terminology
kohl,2,cosmetic and body-related terminology
pujo,5,religious and spiritual terminology
cuticura,1,household and consumer product references
dettol,1,household and consumer product references
hare,1,religious and spiritual terminology
krishnas,1,religious and spiritual terminology
margo,1,household and consumer product references
murshidabad,1,"cities, places and geographic locations"
batik,1,clothing and textile reference
betel,1,food and drink terminology
bhalonam,1,naming practice and kinship related cultural concepts
chappal,1,clothing and textile reference
daknam,1,naming practice and kinship related cultural concepts
kabadi,1,traditional games and social activities
piri,1,ceremonial and ritual objects
sahib,1,ethnic and cultural identity markers
tiffin,1,food and drink terminology
pajamapunjabi,1,clothing and textile reference
